Source	Date	Titel	Link
Reuters	July 13, 2018, 9:01 a.m.	Chinese imports to ports start peaking early amid tariff threat 	https://www.reuters.com/article/us-usa-trade-ports/chinas-imports-to-u-s-ports-start-peaking-early-amid-tariff-threat-idUSKBN1K3056
Bloomberg	May 1, 2018, 1:43 p.m.	Surviving Amazon and the Technology a Danish CEO Says Can Do It	https://www.bloomberg.com/news/articles/2018-05-01/surviving-amazon-and-the-technology-a-danish-ceo-says-can-do-it
Reuters	Feb. 9, 2018, 10:22 p.m.	Exclusive: Amazon eyes new warehouse in Brazil e-commerce push - sourc	https://www.reuters.com/article/us-amazon-brazil-exclusive/exclusive-amazon-eyes-new-warehouse-in-brazil-e-commerce-push-sources-idUSKBN1FT2HM
Washington Post	Feb. 9, 2018, 5:52 p.m.	Analysis | Amazon's Delivery Dream Is a Nightmare for FedEx and UPS: Gadfly	https://www.washingtonpost.com/business/amazons-delivery-dream-is-a-nightmare-for-fedex-and-ups-gadfly/2018/02/09/1cb0f0a8-0dc0-11e8-998c-96deb18cca19_story.html
Investopedia	Feb. 9, 2018, 4:24 p.m.	Would 'Shipping with Amazon' Kill UPS and FedEx?	https://www.investopedia.com/news/would-shipping-amazon-kill-ups-and-fedex/
CNBC	Dec. 22, 2017, 6:47 p.m.	Home Depot has considered buying a $9 billion logistics company so Amazon doesn’t	https://www.cnbc.com/2017/12/22/home-depot-has-considered-buying-a-9-billion-logistics-company-so-amazon-doesnt.html
CNBC	Oct. 10, 2017, 9:07 p.m.	Salmon fly commercial and airlines reap rewards of air cargo growth	https://www.cnbc.com/2017/10/10/air-cargo-is-booming-thanks-to-e-commerce-and-fussy-eaters.html
CNBC	Oct. 6, 2017, 7:22 p.m.	Start-up Flexport raises $110M as Amazon pushes into its market	https://www.cnbc.com/2017/10/06/start-up-flexport-raises-110-million-in-funding.html
Bloomberg	Sept. 20, 2017, 5:10 p.m.	Amazon Preps For a Heated Race as India's Holiday Sales Kick Off	https://www.bloomberg.com/news/articles/2017-09-20/amazon-preps-for-a-heated-race-as-india-s-holiday-sales-kick-off
Reuters	Aug. 2, 2017, 12:38 p.m.	Freight forwarder DSV pins growth hope on e-commerce	https://www.reuters.com/article/us-dsv-outlook-idUSKBN1AI1G6
Reuters	June 27, 2017, 7:22 a.m.	China’s latest logistics IPO is hard to unpack	https://www.reuters.com/article/us-best-inc-ipo-breakingviews-idUSKBN19I0MC
Investopedia 	June 26, 2017, 4:37 p.m.	Alibaba-Backed Best Logistics Gears Up for US IPO	https://www.investopedia.com/news/alibababacked-best-logistics-gears-us-ipo/
Yahoo	March 16, 2017, 10:46 p.m.	Amazon plans to offer air freight service for Chinese sellers	https://uk.news.yahoo.com/amazon-plans-offer-air-freight-074733579.html
Reuters	Feb. 1, 2017, 6:21 a.m	Amazon to spend $1.49 billion on air cargo hub, fans talk of bigger ambitions	https://www.reuters.com/article/us-amazon-com-shipping/amazon-to-spend-1-49-billion-on-air-cargo-hub-fans-talk-of-bigger-ambitions-idUSKBN15G3GI
Yahoo	Feb. 1, 2017, 3:22 a.m.	Amazon pumping nearly $1.5 bn into US air freight hub	https://news.yahoo.com/amazon-pumping-nearly-1-5-bn-us-air-031311422.html
Yahoo	Jan. 4, 2017, 9:19 a.m.	Maersk, Alibaba team up to offer online booking service for ship space	https://sg.news.yahoo.com/maersk-alibaba-team-offer-online-booking-ship-space-091311278--sector.html
Washington Post	Dec. 15, 2016, 4:54 p.m.	The shipping industry is poised for massive upheaval. Can FedEx weather the storm?	https://www.washingtonpost.com/business/economy/the-shipping-industry-is-poised-for-massive-upheaval-can-fedex-weather-the-storm/2016/12/15/46d97fb8-9f7a-11e6-8832-23a007c77bb4_story.html
Yahoo	Oct. 28, 2016, 10:47 a.m.	Amazon lays bricks in China, offers Prime services with free international shipping	https://sg.news.yahoo.com/amazon-lays-bricks-china-offers-prime-services-free-103644055.html
Washington Post	Aug. 5, 2016, 4:07 a.m.	Amazon’s latest weapon in the e-commerce wars: Its own air force	https://www.washingtonpost.com/news/business/wp/2016/08/05/amazons-latest-weapon-in-the-e-commerce-wars-its-own-air-force/
Bloomberg	March 17, 2016, 5:58 p.m.	FedEx CEO Calls Amazon Challenge Reports `Fantastical'	https://www.bloomberg.com/news/articles/2016-03-17/fedex-ceo-smith-calls-amazon-challenge-reports-fantastical
